Model,Accuracy,Precision,Recall,F1
Logistic Regression (Lasso),0.5619765494137353,0.5759627592044012,0.7059128630705395,0.6343509671405266
SVM (Linear),0.5683975432719152,0.5778321108394459,0.7354771784232366,0.6471930625285258
SVM (RBF),0.5915689558905639,0.6057298772169167,0.6908713692946058,0.6455052095953476
Random Forest,0.6217197096594081,0.6400977995110024,0.678941908713693,0.658947898313617
